composition,snlgroup_id 1,sg_num 1,task_id 1,snlgroup_id 2,sg_num 2,task_id 2,delta_energy,delta_bandgap,delta_volume_per_atom,rms_dist,scenario
Ba2 Ca2 Co5.76 Fe2.24 O14,139012,186,,99981,186,,,,,,
Ca0.92 Mg7.08 O24 Si8,112662,14,,24901,14,,,,,,
Al1.4 Ca1.8 Fe1.7 H2 K0.1 Mg3.1 Na0.4 O24 Si7,106228,12,,39777,12,,,,,,
Th1,30437,225,,22830,225,mp-37,,,,,
Cl1 Na3 O12 Pb2 S3,152643,11,mp-677013,55648,11,,,,,,
As2 Fe2 K1,94178,139,,87298,139,mp-675576,,,,,
C128 H384 I24 La8 O64 S64,134373,61,,35638,61,,,,,,
Co2 Fe3 Li5 O10,174452,-1,,166846,-1,,,,,,
C128 H384 I24 La8 O64 S64,134372,61,,35637,61,,,,,,
Br3 Yb1,152946,148,mp-685068,50142,148,,,,,,
Br1 O3,155048,41,,91845,41,,,,,,
Cl1 O2 Sm1,151569,11,,91562,11,,,,,,
O6 Rb1 Te2,112843,227,,54077,227,mp-38070,,,,,
Be1 Cl1 O1,158297,166,,157957,166,,,,,,
Ba1 Fe2 Gd1 O5.061,113097,123,,25664,123,,,,,,
Co4 K10 O9,152420,1,mp-690511,52451,1,,,,,,
Be1 Ca1 F1 Na1 O6 Si2,57959,19,,42260,19,mp-560721,,,,,
Ba14 Ir8 O33 Pd3,113166,150,,44508,150,mp-680547,,,,,
N2 O7 Rb4,152528,1,mp-676368,53746,1,,,,,,
Mn1 O3 Pr1,51885,62,,2635,62,mp-25037,,,,,
Cd1 Pt3,153607,65,,92545,65,,,,,,
Au1 Dy1 Ge1,84589,186,,46573,186,,,,,,
Ge1 O1 Yb3,177649,62,,46118,62,mp-557625,,,,,
C8 Cd1 H16 N12 S8 Zn1,111492,82,,23873,82,,,,,,
Cd2 Ce1,86372,164,,44924,164,mp-622107,,,,,
O25 P6 Pb10,152729,4,mp-677454,52249,4,,,,,,
Cl1 Co1 O3 Sr2,85992,129,,84958,129,,,,,,
Cr1 F3 K3,152467,1,mp-690521,53357,1,,,,,,
Cu1 Lu1 Pb1 Se3,177392,62,,34011,62,mp-583052,,,,,
Cu1 Pb1 Se3 Tm1,177186,62,,34009,62,mp-640324,,,,,
C2 Fe1 U1,84734,122,mp-22753,33499,122,,,,,,
Gd5 O12 Ru2,140830,12,,32818,12,,,,,,
F3 Na1 P1,87539,1,mp-35683,52405,1,,,,,,
Ba2 Ca1 Cu2 O7 Tl1,86084,123,,11789,123,,,,,,
I1 Li6 P1 S5,140340,216,,32410,216,,,,,,
Fe1 La5 O17 Ti4,86128,58,,85353,58,,,,,,
Au1 Cu1 Sn2,139556,164,,5132,164,,,,,,
Fe3 Pt1,84775,123,mp-11798,28931,123,,,,,,
Al4 H96 O80 S8 Tl4,136658,205,,21401,205,,,,,,
Bi1 C9 H3 O9 Ru3,154573,2,mp-707319,101377,2,,,,,,
Nb2 O7 Tl2,106083,227,,50800,227,mp-33658,,,,,
Cr1 F6 H12 O6 Si1,106541,148,,15286,148,,,,,,
Li3 Mo6 S8,103756,148,,13070,148,,,,,,
C1 Ga1 Mn3,30337,221,,20708,221,mp-20164,,,,,
Co7 O48 Re17,154015,1,mp-698580,52565,1,,,,,,
Ca1 Mn1 Sn1,86553,129,,12772,129,mp-20233,,,,,
Ba2 Ce3 F1 O12 Si3,87576,173,mp-42307,57335,173,,,,,,
Ag1 Nb1 O2,152292,65,mp-675095,51218,65,,,,,,
C4 H12 Na3 O18 Ru2,103621,2,,13412,2,,,,,,
Fe2 Zr1,148930,227,,6856,227,mp-1718,,,,,
K5 Rb1 S17 Sn5 Zn4,153264,1,mp-694852,56555,1,,,,,,
Cu1 Th2,86254,191,mp-579718,26632,191,,,,,,
Gd1 I6 Na3,137782,12,,18318,12,,,,,,
C6 Cl6 H16 O14 Ru3,162395,2,mp-758573,138952,2,,,,,,
C3 Cl2 H2 O4 Ru1,162484,14,mp-758659,138951,14,,,,,,
Ca12 O36 Te12,134955,4,,7293,4,,,,,,
H28 N6 O10 Ru1 S2,169784,14,mp-850221,137754,14,,,,,,
Ba2 F1 La3 O12 Si3,153107,1,mp-686674,56128,1,,,,,,
Al1 Hf1,144374,63,,30204,63,mp-249,,,,,
H2 N6 Na4 O13 Ru1,162413,15,mp-758157,132240,15,,,,,,
As4 Li12 O16,105645,62,,14235,62,,,,,,
H1 K2 N5 O10 Ru1,124070,14,,124069,14,,,,,,
C4 Cu1 N4 O8,153962,14,,118173,14,,,,,,
H47 Li3 Mo8 O39.98 S8 W1,138681,12,,23652,12,,,,,,
C18 H2 O20 Ru6 S1,155082,2,mp-720807,100809,2,,,,,,
Cu0.5 H2 O3 Ru0.5,107421,65,,15970,65,,,,,,
Ba17 In17 O40,85797,123,,51371,123,,,,,,
Ba4 Fe8 Na4 O48 P12,134890,198,,7186,198,,,,,,
Cl16 Nb10 O7,137100,2,,28075,2,,,,,,
Cr1 H12 N4 O4 Pd1,155621,141,mp-746364,104000,141,,,,,,
H4 Mg2 Ru1,151784,63,mp-643023,103829,63,,,,,,
H6 Li4 Ru1,151771,167,mp-642847,103124,167,,,,,,
C9 H4 N2 O9 Ru3,155028,2,mp-720439,102767,2,,,,,,
Br7 H18 N6 Ru2 Zn1,102372,11,,101008,11,mp-707342,,,,,
Ba1 C4 Co1 N4 O7 S4,155404,81,,100935,81,,,,,,
C13 Co1 H1 O13 Ru3,155288,14,mp-735485,100925,14,,,,,,
C328.0656 Ce4,152172,205,,127282,205,,,,,,
C328.0656 Ce4,152172,205,,127280,205,,,,,,
C328.0656 Ce4,152172,205,,31676,205,,,,,,
C328.0656 Ce4,152171,205,,127281,205,,,,,,
C328.0656 Ce4,127283,205,,48034,205,,,,,,
C328.0656 Ce4,127282,205,,127280,205,,,,,,
C328.0656 Ce4,127282,205,,31676,205,,,,,,
C328.0656 Ce4,127280,205,,31676,205,,,,,,
Pd30 S40 U9,153042,31,,53036,31,,,,,,
C13 Fe1 H2 O13 Ru3,155337,15,,97075,15,,,,,,
B1 C12 H3 O12 Ru4,155251,8,,95880,8,,,,,,
Cs1 H24 O20 Ru1 S2,154750,205,mp-707854,96374,205,,,,,,
Ga1 K1,153184,62,,95544,62,,,,,,
C6 Co1 H1 O6 Ru1,154710,14,mp-744756,94940,14,,,,,,
C8 H2 O8 Ru3 S1,154713,2,mp-707792,94930,2,,,,,,
Ca1 Cu1 H2 O5 Si1,154218,14,mp-703515,94013,14,,,,,,
Br1 N1 O1,153165,14,,92718,14,,,,,,
H2 Na6 O14 Pd1 S4,154493,88,mp-707021,91052,88,,,,,,
Nb35.318 O70 Rb4 Si1.682,103491,147,,13041,147,,,,,,
Br8 P19.6 Sn24,31560,223,,31559,223,,,,,,
C8 Co2 O8 Se1 Sn1,86903,70,,39146,70,,,,,,
Cu1 O4 V1,87892,74,mp-510733,87890,74,,,,,,
Al1 F6 H18 N6 Ru1,111182,205,,87658,205,mp-24135,,,,,
Br2 C20 H1 O20 Ru6,154726,14,,94757,14,,,,,,
C240 Cs4 Na8,105665,205,,14448,205,,,,,,
H2 K2 O5 Ru1,153718,19,mp-696941,95178,19,,,,,,
Br2.6 Cl1.4 Na4 O12,104164,1,,13690,1,,,,,,
C17 H2 O17 Ru6,155083,2,mp-720808,101134,2,,,,,,
C11 H3 N1 O11 Ru4,154568,2,,95294,2,,,,,,
B4 Dy4 Fe56 Nd4,19408,136,,19407,136,,,,,,
Ba2 Ca2 Cu3 Hg0.841 O8.17,108927,123,,16931,123,,,,,,
Ba1 Fe2 Gd1 O5.3,113098,123,,25668,123,,,,,,
Ca4 F1 O12 P3,153293,6,,56655,6,,,,,,
H14 N4 O6 Ru1 S2,155252,14,mp-722271,95935,14,,,,,,
C3 Hg1 N3 Rb1 S3,86385,11,,44133,11,mp-669543,,,,,
H12 K2 O14 Ru1 S2,102298,14,,88274,14,mp-24538,,,,,
O8 P2 Sn1 Sr1,175664,15,,140869,15,,,,,,
F4 K8 O20 V4,95094,19,,8446,19,,,,,,
Ba2 Cu3 O7 Yb1,100854,47,,10288,47,,,,,,
Al12.846 Ca12 Ga1.154 O33.734,140178,220,,69656,220,,,,,,
Ba1 Fe2 O5.249 Sm1,99937,123,,31394,123,,,,,,
Al1 Fe1 Li1 O3,174110,2,mp-770577,160243,2,,,,,,
Cl1 F1 O24 P6 Sr10,154349,4,mp-705932,58020,4,,,,,,
Al22 Na2.442 O34.222,101881,194,,6666,194,,,,,,
Ce20 In67 Pd36,127309,216,,31681,216,,,,,,
C12 H3 O12 Rh1 Ru3,155415,2,mp-731160,102570,2,,,,,,
H1 Nd1 O2,150585,4,mp-625359,150584,4,,,,,,
H6 Ru1 Sr2,96575,225,,88186,225,mp-24292,,,,,
Al1 Ca6 F1 O29 Si6 Ti5,153238,1,mp-693358,57750,1,,,,,,
Ca3 Na1 O24 Sc1 Si8 Zn3,153242,13,mp-693463,57675,13,,,,,,
Cu2 H24 K4 O28 S0.996 Se3.0036,127614,14,,31867,14,,,,,,
Cl1 K3 O12 S3 Sn2,87523,4,mp-42091,57185,4,,,,,,
F2 Na3 O50 Si12 Sm17,152644,143,mp-677015,55554,143,,,,,,
Al3 N24 Si15 Y1,86357,1,mp-532803,55205,1,,,,,,
Al2 Ba17 Cl4 Cr10 O48,153062,1,,55017,1,,,,,,
Al6 N45 Nd1 O3 Si30,86895,1,mp-532626,54931,1,,,,,,
Cr1 Cs1 I2,87493,63,mp-675843,53005,63,,,,,,
C128 Ce8 H384 I24 O64 S64,134374,61,,35639,61,,,,,,
Ca2 Na1 O18 Sc1 Si6 Zn2,86509,15,mp-534778,57591,15,,,,,,
Ir0.1 O4 Ru0.9 Sr2,110705,139,,21850,139,,,,,,
Cu2 H24 K4 O28 S0.636 Se3.364,127609,14,,31855,14,,,,,,
Bi18 O31 U2,152974,-1,,50535,-1,,,,,,
Cu2 H24 K4 O28 S0.996 Se3.0032,127615,14,,31868,14,,,,,,
B1 La1 N1 Ni1,84938,129,,23302,129,mp-20881,,,,,
C48 Fe8 O48 Os4,102830,7,,12292,7,,,,,,
Au1 Er1 Ge1,84763,186,mp-12563,48514,186,,,,,,
Cu4 Li3 Ni1 O8,174123,12,mp-770350,160258,12,,,,,,
C64 H192 I12 O32 S32 Sm4,134378,14,,35643,14,,,,,,
C96 H288 Mo12 N24 S48,128385,19,,48315,19,,,,,,
Ca10 Cl1 F1 O24 P6,153090,143,mp-686571,56081,143,,,,,,
Ca7 F3 Na13 O48 S12,86713,6,mp-532575,54845,6,,,,,,
Cu2.85 O7.302 Re0.15 Sr2 Y1,97267,123,,10881,123,,,,,,
Ba1 Ce2 Co1 S5,84678,140,,44024,140,mp-22288,,,,,
K2 O8 P2 Zr1,94478,147,,9307,147,,,,,,
Cu1 Si2 Zr1,84625,129,,43678,129,mp-19953,,,,,
Al1 La18 O52 Si11 Sr2,152741,1,mp-677529,55615,1,,,,,,
Br1 F1 O24 P6 Sr10,86332,11,mp-534901,57895,11,,,,,,
Cl8 H48 N16 O8 Ru4 S4,136858,62,,23624,62,,,,,,
Cl15 Tm7,86688,62,,43449,62,mp-680292,,,,,
H6 Na4 Ru1,151783,167,mp-643001,103125,167,,,,,,
Dy1 Fe1 Si1,84800,129,,46627,129,mp-22698,,,,,
F1 O12 Sr5 V3,87337,176,mp-704727,56127,176,,,,,,
Al2.544 Ba6 O16 Ru1.456 Y2,140217,194,,32458,194,,,,,,
P8 S49.2 Se8.8 Ta8,102402,3,,46293,3,,,,,,
Cu2 H24 K4 O28 S1.016 Se2.9848,127613,14,,31864,14,,,,,,
I8 P19.294 Sn24,136480,223,,19774,223,,,,,,
O7 S1 Zr1,151622,15,,89520,15,,,,,,
Na2 O12 Re2 Sr4,140525,14,,32703,14,,,,,,
C2 Co1 N7 Sr6,85504,18,mp-721246,35225,18,,,,,,
H160 Mn8 N80 Se16 Sn4,134382,14,,35648,14,,,,,,
Al9 N45 O3 Si27 Y2,153312,1,mp-695215,56798,1,,,,,,
Al8 C48 H120,123001,14,,35240,14,,,,,,
Eu1 Mn1 O3,53330,62,,34655,62,mp-25667,,,,,
Ca7 Cl1 F2 Na13 O48 S12,155010,1,mp-720360,57920,1,,,,,,
Cu2.13 Li2 Mg0.87 O12 Si4,102001,2,,12765,2,,,,,,
Eu2 H6 Ru1,98281,225,,151659,225,mp-634945,,,,,
K1 Rb5 S17 Sn5 Zn4,152645,1,mp-677017,55771,1,,,,,,
Ba1 Fe2 O5.03 Sm1,99936,47,,31390,47,,,,,,
C128 H384 I24 O64 Pr8 S64,134375,61,,35640,61,,,,,,
Al92 Co40.5604 Si34.8792,138225,62,,32244,62,,,,,,
Eu3 Ga8,84650,71,,45300,71,,,,,,
Cu2 H24 K4 O28 S2.7184 Se1.28,127616,14,,31872,14,,,,,,
Cu2 H24 K4 O28 S0.712 Se3.2876,127612,14,,31859,14,,,,,,
Cu2 H24 K4 O28 S0.68 Se3.3216,127611,14,,31857,14,,,,,,
Cu2 H24 K4 O28 S0.676 Se3.3236,127610,14,,31856,14,,,,,,
Cu2 H24 K4 O28 S0.652 Se3.3464,127608,14,,31854,14,,,,,,
Br8 P19.54 Sn24,31564,223,,31563,223,,,,,,
Ba1 Fe2 Nd1 O5.239,99934,123,,31386,123,,,,,,
Ba1 F5 Ga1 O2,151836,11,,107819,11,,,,,,
C24 Cl4 H72 Mn2 O28 S12,134249,43,,5300,43,,,,,,
Mn1 Pt1,86777,123,,30839,123,mp-1670,,,,,
Ni1 S6 V3,94792,148,,53456,148,mp-676058,,,,,
Cl3 Hg1 Na1 O2,155313,62,,95375,62,,,,,,
B20 Li1 Mg9,87147,2,mp-35040,51908,2,,,,,,
Ge26 Nd6 Ru8,98367,223,,30692,223,,,,,,
Br18 C18 H60 N6 Sb4,117367,161,,29068,161,,,,,,
Al6 N30 O2 Si18 Y1,152665,1,mp-677127,55376,1,,,,,,
B2 Cl39.148 Cs6 I0.852 Zr14,137470,167,,28102,167,,,,,,
Ba2 Ca2 Cu3 Hg1 O8.41,106578,123,,15314,123,,,,,,
C4 K2 N4 Pt1 S4,86878,14,,12248,14,mp-616240,,,,,
C64 Dy4 H192 I12 O32 S32,134380,14,,35645,14,,,,,,
As1 Eu1,84635,189,,22435,189,,,,,,
Cu2.77 O7.28 Re0.23 Sr2 Y1,107454,123,,15975,123,,,,,,
C8 Cl2 H24 Ru1 S4,134244,61,,5297,61,mp-605665,,,,,
Ca18 F3 Nd2 O48 P9 Si3,86515,6,mp-534782,57775,6,,,,,,
Cu2.751 Ho1 O7.44 Re0.133 Sr2,107451,123,,15807,123,,,,,,
Ir0.4 O4 Ru0.6 Sr2,110706,139,,21851,139,,,,,,
Br6 Li2 U0.88,28392,12,,11367,12,,,,,,
Al14 Ca12 O32.696,132626,220,,7108,220,,,,,,
Bi1 K2 Rb1 Se3,108511,198,,40428,198,mp-621964,,,,,
Cu2 H24 K4 O28 S3.1592 Se0.84,127619,14,,31880,14,,,,,,
Cd0.66 Cu0.6 In6 Se10,118716,164,,1612,164,,,,,,
Ag16 I20 Rb4,97982,213,,27947,213,,,,,,
C1 O9 Sc2 Sr4,113623,139,,27967,139,,,,,,
La37 O104 Si24,153043,143,,54553,143,,,,,,
Al2 K2 O7,153168,41,,94544,41,,,,,,
Ca24 Ge8 O40,100180,160,,9672,160,,,,,,
C13 H2 O13 Ru4,155160,2,mp-721193,101948,2,,,,,,
C48 Cr4 Eu4 H104 N24 O28 S12,119425,19,,2056,19,,,,,,
Co8 Ge26 Y6,98164,223,,22997,223,,,,,,
Ca2 H4.98 Ru1,98116,225,,22924,225,,,,,,
Al0.84 Ba0.03 Ca3.51 Ce1.125 Cl0.85 F1.15 Fe1.5 K0.285 Mn2.16 Na12.96 Nb0.45 O75 Si24.93 Sr0.57 Ti0.36 Y0.51 Zr3.08,99263,160,,44080,160,,,,,,
Ga2 Np1,84850,191,mp-19849,26833,191,,,,,,
Fe20 K6 S27,152472,1,,52426,1,,,,,,
H0.68 P3.2 Pd12,97061,62,,9366,62,,,,,,
As20.6 Dy12 Ni30,112250,176,,24543,176,,,,,,
Ge1 Ni3,30203,221,,23465,221,mp-21008,,,,,
Cr3 O42 P12 Ti6,122907,176,,4562,176,,,,,,
Ba2 Ca3 Cu4 Hg0.772 O10.14 Pb0.183,105920,123,,14397,123,,,,,,
Ag3 Al22 O33.9998,131481,194,,18495,194,,,,,,
I1 N4,153696,33,,95022,33,,,,,,
C12 Cl6 H36 O19 Sb1 V6,127392,148,,31748,148,,,,,,
H1.16 P4 Pd24,97060,14,,9365,14,,,,,,
K30 O120 P12 Sb30,131769,58,,17925,58,,,,,,
C0.4 Cu2.6 O7 Sr2.14 Y0.86,103537,47,,13366,47,,,,,,
Cr4 H96 K4 O80 S8,136660,205,,21404,205,,,,,,
K4.72 Sb17.28 Se28,107979,11,,16166,11,,,,,,
Cu2.8 O7.316 Re0.2 Sr2 Y1,107455,123,,15978,123,,,,,,
As2 O1 Rb2 Se6,153773,15,,99808,15,,,,,,
Al1 Cl6 H20 O10 Ru1,89690,14,,3322,14,mp-603609,,,,,
C132 H396 Si64,121641,15,,34859,15,,,,,,
Al1 Ca3 Fe3 Na1 O24 Si8,153378,13,mp-743726,57459,13,,,,,,
Cl1 N3 O6 S2,154512,55,,91994,55,,,,,,
C8 Cl7 H32 N4 Ru1,85403,18,mp-571170,295,18,,,,,,
Ga4 H96 O80 Rb4 S8,136661,205,,21405,205,,,,,,
Ba1 Cu1 Gd2 O5,84937,62,,12000,62,,,,,,
C960 Cl96,128843,61,,48494,61,,,,,,
Br1 K3 O12 S3 Sn2,152559,4,mp-676501,54957,4,,,,,,
Al6 Na1 O9.5,101846,55,,12390,55,,,,,,
Cs10 S14 Tc6,96354,225,,11236,225,,,,,,
As4 F24 I4 O8 S4 Se12,97140,14,,9698,14,,,,,,
Fe14 H2.6 O40 P8,134814,15,,4963,15,,,,,,
Bi18 O42 P4 Pb5,114062,12,,46365,12,,,,,,
Ce1 Pt2 Sn2,86649,129,,46615,129,mp-672267,,,,,
O14 Ti3 Yb3,152529,12,mp-676370,53594,12,,,,,,
Br4 C24 H56 Mn2 N12 O4 P4,127757,14,,31998,14,,,,,,
P4 Sn3,85111,5,mp-684588,49971,5,,,,,,
O15 Ta6,134690,72,,24992,72,,,,,,
Ag0.462 Al22 Cd0.99 O34.2218,101888,194,,6667,194,,,,,,
As8 S8.262,120284,15,,2806,15,,,,,,
Gd2 Ge3 Zn6,84952,189,,28269,189,mp-582406,,,,,
C6 Cl3 H18 Ru1 S3,163162,33,mp-759409,137074,33,,,,,,
Hg3 Pb16 S46 Sb18,132581,12,,7087,12,,,,,,
Al2 C4 F2 H28 N4 O16 P3.9982,139636,11,,7047,11,,,,,,
Hg1 Pt3,153608,65,,92544,65,,,,,,
Cu2 H24 K4 O28 S3.1456 Se0.856,127618,14,,31879,14,,,,,,
Na8 O40 Sb8 Si8,104894,52,,6686,52,,,,,,
Cu2.772 O7.36 Re0.136 Sr2 Y1,107450,123,,15806,123,,,,,,
Ga10 Ni1 Pr3,85545,47,mp-632810,24725,47,,,,,,
H6 K10 O36 S8,138915,14,,25401,14,,,,,,
Ca1 Cu1 O10 Si4,92859,130,,35288,130,mp-6189,,,,,
O8 Ta5,91565,123,,24512,123,,,,,,
H13 N3 O7.9998 S2,101954,148,,12881,148,,,,,,
C64 Gd4 H192 I12 O32 S32,134379,14,,35644,14,,,,,,
C48 H120 N8 Na8 O4 Si8,122976,86,,4625,86,,,,,,
Al0.8 O8 Ru1 Sn6,138437,225,,21474,225,,,,,,
