snlgroup_id 1,snlgroup_id 2,snl_id 1,snl_id 2,shared icsd_id,matches
150496,150497,334126,334263,15008,False
150768,150765,334603,334601,24777,False
150497,150495,334127,334125,15008,False
150497,150495,334127,334273,15008,False
151723,33456,337785,45073,109016,False
151723,33456,337785,175104,109016,False
151723,33456,337785,259422,109016,False
150774,150799,334613,334651,25509,False
90456,151494,186144,336457,10338,False
90456,151494,186144,352580,10338,False
150779,150853,334621,334732,25791,False
150569,150524,334271,334170,15398,False
84911,14639,137096,19366,81123,False
84911,14639,137096,127287,81123,False
84911,14639,137096,233813,81123,False
150524,150523,334170,334169,15398,False
150523,88383,334169,334262,15398,False
154159,14825,348973,18564,78698,False
154159,14825,348973,171639,78698,False
154159,14825,348973,173329,78698,False
154159,14825,348973,231443,78698,False
35560,151953,48994,339092,245450,False
150568,150521,334256,334167,15398,False
150568,150521,334256,334210,15398,False
9192,28921,11265,175504,36263,False
9192,28921,11265,351976,36263,False
150838,150785,334710,334629,25791,False
154935,84750,351988,129536,152316,True/True/True/True
154935,84750,351988,349014,152316,False
35894,86045,49419,155213,246478,False
35894,86045,49419,160291,246478,False
35894,86045,49419,164331,246478,False
35894,86045,49419,169963,246478,False
150999,150986,335003,334976,30637,False
36303,154823,50268,351664,260212,True/True/True/True
26262,94457,34002,197742,33641,False
26262,94457,34002,348903,33641,False
150957,150955,334922,334920,30637,False
150941,150940,334896,334895,30574,False
150587,150586,334319,334318,16014,False
150940,150981,334895,334967,30574,False
150586,150575,334318,334285,16014,False
150981,150971,334967,334950,30574,False
150575,150583,334285,334310,16014,False
150583,150576,334310,334287,16014,False
150971,150938,334950,334893,30574,False
150576,150574,334287,334286,16014,False
150574,150573,334286,334283,16014,False
128842,85697,284283,150924,161497,False
128842,85697,284283,154328,161497,False
128842,85697,284283,164378,161497,False
128842,85697,284283,174873,161497,False
86098,4097,155765,4888,161494,False
86098,4097,155765,272151,161494,False
151589,153428,336878,346369,28556,False
85822,129032,152417,284649,161495,False
7475,155675,9134,354400,28556,False
155675,151572,354400,336779,28556,False
152044,4098,340418,4889,161495,False
152044,4098,340418,272152,161495,False
150738,150736,334567,334561,24039,False
150738,150736,334567,334569,24039,False
150734,150725,334555,334537,24039,False
150734,150725,334555,334554,24039,False
150725,150709,334537,334511,24039,False
150709,150708,334511,334510,24039,False
151950,35119,339040,48247,162003,False
151950,35119,339040,272655,162003,False
151198,151161,335533,335424,94905,False
151198,151161,335533,335496,94905,False
35119,86663,48247,163938,162003,False
35119,86663,48247,175813,162003,False
84631,22769,124258,29344,52412,False
84631,22769,124258,208971,52412,False
150708,150706,334510,334507,24039,False
150708,150706,334510,334540,24039,False
150708,150706,334510,334560,24039,False
150706,150705,334507,334505,24039,False
5520,87421,6652,176558,246445,False
151161,151165,335424,335427,94905,False
151161,151165,335424,335493,94905,False
151161,151165,335424,335498,94905,False
150705,150700,334505,334500,24039,False
150632,150572,334383,334282,159389,False
150632,150572,334383,334309,159389,False
150665,150652,334437,334420,16670,False
150652,150595,334420,334331,16670,False
150572,150550,334282,334216,159389,False
150572,150550,334282,334261,159389,False
150572,150550,334282,334281,159389,False
17120,11359,21630,150827,16834,False
22819,84711,29405,127859,52500,False
150550,150551,334216,334219,159389,False
151066,150597,335136,334986,34248,False
150548,150529,334211,334176,15689,False
150597,150596,334333,334332,16670,False
150597,150596,334333,334404,16670,False
151162,151163,335425,335426,94905,False
151162,151163,335425,335482,94905,False
151162,151163,335425,335506,94905,False
150529,150544,334176,334203,15689,False
150544,150531,334203,334177,15689,False
91382,155652,188908,354078,20027,False
150549,150547,334214,334209,159389,False
150549,150547,334214,334251,159389,False
150549,150547,334214,334284,159389,False
150531,150532,334177,334180,15689,False
