category,composition,snlgroup_id 1,sg_num 1,task_id 1,snlgroup_id 2,sg_num 2,task_id 2,delta_energy,delta_bandgap,delta_volume_per_atom,rms_dist,scenario
diff. SGs,Fe3 O4,85322,51,mp-542433,3255,227,mp-19306,0.0508,0.0042,0.194,"(0.043,0.0572)",different
diff. SGs,Fe3 O4,85322,51,mp-542433,154944,12,mp-715811,0.0369,0.287,0.114,"(0.037,0.0576)",different
diff. SGs,Fe3 O4,85322,51,mp-542433,9100,74,mp-31770,0.035,0.449,0.0231,"(0.0279,0.0404)",different
diff. SGs,Fe3 O4,85322,51,mp-542433,154946,53,mp-716052,0.0381,0.262,0.124,"(0.0365,0.0679)",different
diff. SGs,Fe3 O4,85322,51,mp-542433,154938,166,mp-715558,0.0367,0.273,0.109,"(0.0341,0.0536)",different
diff. SGs,Fe3 O4,3255,227,mp-19306,154944,12,mp-715811,0.0139,0.291,0.0794,"(0.022,0.0339)",different
diff. SGs,Fe3 O4,3255,227,mp-19306,9100,74,mp-31770,0.0158,0.454,0.17,"(0.0425,0.0573)",different
diff. SGs,Fe3 O4,3255,227,mp-19306,154946,53,mp-716052,0.0127,0.266,0.0698,"(0.0247,0.0368)",different
diff. SGs,Fe3 O4,3255,227,mp-19306,154938,166,mp-715558,0.0141,0.277,0.0844,"(0.0196,0.033)",different
diff. SGs,Fe3 O4,154944,12,mp-715811,9100,74,mp-31770,0.00196,0.163,0.0911,"(0.0363,0.0613)",different
diff. SGs,Fe3 O4,154944,12,mp-715811,154946,53,mp-716052,0.00121,0.0243,0.00952,"(0.0205,0.043)",similar
diff. SGs,Fe3 O4,154944,12,mp-715811,154938,166,mp-715558,0.000212,0.0138,0.00507,"(0.00828,0.0161)",similar
diff. SGs,Fe3 O4,9100,74,mp-31770,154946,53,mp-716052,0.00317,0.187,0.101,"(0.0331,0.0515)",different
diff. SGs,Fe3 O4,9100,74,mp-31770,154938,166,mp-715558,0.00175,0.177,0.0861,"(0.0343,0.0563)",different
diff. SGs,Fe3 O4,154946,53,mp-716052,154938,166,mp-715558,0.00142,0.0105,0.0146,"(0.0155,0.0349)",similar
diff. SGs,H16 O10 Sr1,150942,1,mp-626216,150922,2,mp-626197,0.00207,0.225,0.202,"(0.129,0.274)",different
diff. SGs,Li7 Mn11 O24,153144,5,mp-690435,87308,2,mp-34461,9.79e-05,0.77,0.0444,"(0.0149,0.041)",different
diff. SGs,O3 W1,154130,221,mp-715469,151684,63,mp-636289,0.000593,0.2,0.0855,"(0.0591,0.115)",different
diff. SGs,O3 W1,154167,191,mp-715590,49979,185,mp-32662,0.00181,0.349,0.00219,"(0.131,0.169)",different
diff. SGs,O3 W1,15113,14,mp-19283,41931,60,mp-19342,0.000202,0.0363,0.0517,"(0.0677,0.0979)",similar
diff. SGs,O3 W1,87305,193,mp-32777,7923,191,mp-559175,0.00158,0.143,0.00729,"(0.0258,0.0479)",different
diff. SGs,O3 W1,40625,113,mp-565994,85528,57,mp-566278,0.000279,0.0918,0.00499,"(0.106,0.137)",similar
diff. SGs,O3 W1,16289,14,mp-19033,19498,130,mp-18773,1.23e-06,0.092,0.0149,"(0.151,0.182)",similar
diff. SGs,O3 W1,33321,221,mp-19390,154945,51,mp-715923,0.000511,0.34,0.00338,"(0.0115,0.0132)",different
diff. SGs,Al2 Co1 O4,87104,8,mp-37621,50750,156,mp-699325,0.011,0.47,0.0418,"(0.0306,0.102)",different
diff. SGs,O2 Ti1,152055,35,mp-655656,85538,25,mp-636827,0.00263,0.0641,0.00733,"(0.0431,0.0758)",similar
diff. SGs,O2 Ti1,87076,15,mp-34688,2160,141,mp-390,0.00791,0.0627,0.104,"(0.0186,0.0268)",similar
diff. SGs,C1 Li4 O4,5479,121,mp-551740,5491,5,mp-550498,0.0015,0.0173,0.0515,"(0.134,0.198)",similar
diff. SGs,Co1 O2,85651,12,mp-556750,85374,166,mp-554635,0.251,0,1.99,"(0.0129,0.0158)",different
diff. SGs,C1 Li4 O4,87044,8,mp-549565,85580,160,mp-550593,0.00663,0.196,0.476,"(0.0776,0.135)",different
diff. SGs,C1 Li4 O4,87044,8,mp-549565,5477,215,mp-546202,0.00785,0.375,0.72,"(0.11,0.184)",different
diff. SGs,C1 Li4 O4,85580,160,mp-550593,5477,215,mp-546202,0.00122,0.178,0.244,"(0.0499,0.0671)",different
diff. SGs,C1 Li4 O4,85445,5,mp-550320,87009,8,mp-549389,0.0519,1.01,1.14,"(0.189,0.297)",different
diff. SGs,C1 Li4 O4,85445,5,mp-550320,5480,121,mp-551848,0.0529,1.26,1.17,"(0.212,0.298)",different
diff. SGs,C1 Li4 O4,87009,8,mp-549389,5480,121,mp-551848,0.00099,0.251,0.0289,"(0.0416,0.068)",different
diff. SGs,Bi2 O3,49931,8,mp-673244,50256,1,mp-684654,0.00425,0.0452,0.184,"(0.106,0.198)",similar
diff. SGs,Co2 Li1 O4,174631,4,mp-774082,54302,227,mp-25471,0.104,0.628,0.473,"(0.0396,0.0576)",different
diff. SGs,O2 Zr1,22154,225,mp-1565,3055,137,mp-2574,0.0338,0.75,0.375,"(0.0432,0.0529)",different
diff. SGs,Mn1 O2,84991,58,mp-33009,6598,136,mp-510408,0.0033,0.397,0.0634,"(0.0786,0.0962)",different
diff. SGs,O2,19027,12,mp-611836,14453,166,mp-610917,0.0104,0.0159,0.353,"(0.0383,0.0383)",different
diff. SGs,Fe1 O4 P1,1805,152,mp-19109,24870,181,mp-24973,0.0056,0.135,1.46,"(0.195,0.247)",different
diff. SGs,H7 N1 O6,150889,1,mp-626112,151056,4,mp-626529,0.000146,0.089,0.011,"(0.0466,0.127)",similar
diff. SGs,Cu1 Mn2 O4,87166,8,mp-34237,51286,156,mp-705626,0.0166,0.0113,0.0707,"(0.0672,0.112)",different
diff. SGs,C1 O4 Rb4,35547,5,mp-551176,35550,23,mp-550679,0.00341,1.46,0.0149,"(0.0973,0.149)",different
diff. SGs,C1 O4 Rb4,35549,146,mp-550314,35542,215,mp-546320,0.000233,0.111,0.383,"(0.134,0.205)",different
diff. SGs,C1 O4 Rb4,85513,81,mp-552966,35542,215,mp-546320,0.00348,0.948,3.24,"(0.17,0.226)",different
diff. SGs,Fe2 O3,48612,206,mp-686969,154939,5,mp-715572,0.0417,0.629,0.166,"(0.0634,0.0955)",different
diff. SGs,Fe2 O3,44632,60,mp-542309,154929,33,mp-715276,0.044,0.0139,0.0917,"(0.0667,0.107)",different
diff. SGs,O5 P1 V1,49282,129,mp-19000,33450,85,mp-566179,0.00175,0.0791,0.288,"(0.092,0.117)",similar
same SGs,Al1 H1 O2,150483,36,mp-625056,150477,36,mp-625054,1.14e-05,0.0973,0.0562,,
diff. SGs,Si1,48629,148,mp-571520,6238,206,mp-168,0.00194,0.101,0.208,"(0.12,0.193)",different
diff. SGs,Ba1 O3 Ti1,14195,194,mp-5933,36117,20,mp-558125,0.00482,0.573,0.159,"(0.0271,0.0499)",different
diff. SGs,Ba1 O3 Ti1,34698,99,mp-12992,6069,160,mp-5020,0.00291,0.777,0.0355,"(0.211,0.284)",different
diff. SGs,Ba1 O3 Ti1,34698,99,mp-12992,7776,38,mp-5777,0.00249,0.561,0.036,"(0.212,0.288)",different
diff. SGs,Ba1 O3 Ti1,6069,160,mp-5020,2045,99,mp-5986,0.00291,0.781,0.0514,"(0.0318,0.0542)",different
diff. SGs,Ba1 O3 Ti1,6069,160,mp-5020,7776,38,mp-5777,0.000424,0.216,0.000474,"(0.019,0.0324)",different
diff. SGs,Ba1 O3 Ti1,6069,160,mp-5020,1496,221,mp-2998,0.0141,0.842,0.41,"(0.0322,0.0546)",different
diff. SGs,Ba1 O3 Ti1,2045,99,mp-5986,7776,38,mp-5777,0.00248,0.565,0.0519,"(0.0223,0.0363)",different
diff. SGs,Ba1 O3 Ti1,2045,99,mp-5986,1496,221,mp-2998,0.0112,0.0616,0.359,"(0.0164,0.0315)",different
