snlgroup_id,snlgroup_key,mismatching snl_ids
32234,Mn2 Na1 O4--62,159285 174022
32293,Cr1 F3 K1--140,125187
32337,Ba1 Eu1 Fe2 O5--51,307173
32552,K3 O4 V1--121,131215
32776,I3 Ti1--59,311144
32920,Mn1 O4 U1--74,337697
33200,Cu2 Dy1 In3--191,337674
33342,Pr1--152,175029
33454,Li1--220,176885
33564,Li1 Mn2 O4--70,337838 337960
33802,Ni1 Ti1--2,337743
34010,Cu1 Pb1 Se3 Yb1--62,46447 160038 165365 165423 170680 176278 265349
34026,Cu1 Pb1 S3 Y1--62,170040
34370,O2 Si1--154,265972 265973
34374,O2 Si1--154,169192
34407,O4 Pb1 W1--14,164946 173723 337965
34740,Ge1 O5 Sr1 Ti1--14,167103
34750,Ga1 Nb4 S8--113,131783 268994
34982,Ba4 O12 Pr1 Ru3--12,161671
35116,Ca1 Fe2 O4--62,338960 339033
35374,Li1 Na1 O7 Ti3--64,152797
35571,Co1 O6 Sr2 W1--14,345930
35949,Mo1 N1--194,257511 278962
36151,I2 O6 Zn1--4,339305
36153,Co1 I2 O6--4,151427 152880 170022 174230 174614 339332
36166,Ca1 O3 Si1--139,50022 291075
36167,Ca1 O3 Si1--204,50028 50029 50030 137193 291081 291082 291083
36500,Mo1 O6 Sb2--2,52591 215082
36538,Eu2 Sb3--14,405231
36829,O73 W25--13,339685
36835,Fe1 Na1 O4 Ti1--62,162767
36857,O5 Pb3--14,138006 159750 171883
37085,Au1 F4 Li1--13,149092
37249,Fe3 O4--57,134754 138670 250161 275434 275435 339760
37251,Fe3 O4--26,174288
37428,C4 K2 N4 Pd1 S4--14,170886
37494,K1 Mo4 O8--85,339848
37526,O2 Ta1--88,128277 216258
37859,Sb2 Sr1 Zn1--62,124812
37888,O7 Ti4--2,165282
38295,K1 O2 Pb1--2,167841
38516,As1 Br5 F6--15,148718 173837
38595,Ba3 S7 Zr2--66,146487
38974,O36 Pb3 U11--59,154636
39227,La8 Ni4 O17--5,157003 174575 343700
39234,Ag1 La1 Nb2 O7--142,340788 361532
39242,B7 Cl1 Cr3 O13--29,159645 160476 340309
39289,Cr2 K3 Na1 O8--15,54515 124081 140572 227666 341134
39433,Al2 Ba1 O4--182,137318
