category,composition,snlgroup_id 1,sg_num 1,task_id 1,snlgroup_id 2,sg_num 2,task_id 2,delta_energy,delta_bandgap,delta_volume_per_atom,rms_dist,scenario
diff. SGs,Fe3 O4,154275,109,,85322,51,mp-542433,,,,,
diff. SGs,Fe3 O4,154275,109,,3255,227,mp-19306,,,,,
diff. SGs,Fe3 O4,154275,109,,154944,12,mp-715811,,,,,
diff. SGs,Fe3 O4,154275,109,,93537,227,,,,,,
diff. SGs,Fe3 O4,154275,109,,9100,74,mp-31770,,,,,
diff. SGs,Fe3 O4,154275,109,,154946,53,mp-716052,,,,,
diff. SGs,Fe3 O4,154275,109,,154938,166,mp-715558,,,,,
diff. SGs,Fe3 O4,84799,10,,151996,6,,,,,,
diff. SGs,Fe3 O4,84799,10,,37249,57,mp-650112,,,,,
diff. SGs,Fe3 O4,84799,10,,37251,26,,,,,,
diff. SGs,Fe3 O4,85322,51,mp-542433,93537,227,,,,,,
diff. SGs,Fe3 O4,46477,63,mp-18731,154264,8,,,,,,
diff. SGs,S1,93033,136,,91238,84,,,,,,
diff. SGs,Fe3 O4,151996,6,,37249,57,mp-650112,,,,,
diff. SGs,Fe3 O4,151996,6,,37251,26,,,,,,
diff. SGs,Fe3 O4,154944,12,mp-715811,93537,227,,,,,,
diff. SGs,Fe3 O4,93537,227,,9100,74,mp-31770,,,,,
diff. SGs,Fe3 O4,93537,227,,154946,53,mp-716052,,,,,
diff. SGs,Fe3 O4,93537,227,,154938,166,mp-715558,,,,,
diff. SGs,Fe3 O4,37249,57,mp-650112,37251,26,,,,,,
diff. SGs,Fe3 O4,85262,57,mp-541907,154262,26,,,,,,
diff. SGs,Fe3 O4,154261,7,,42333,57,,,,,,
same SGs,Fe3 O4,3255,227,mp-19306,93537,227,,,,,,
diff. SGs,S1,24273,166,,151479,229,,,,,,
diff. SGs,Li7 Mn11 O24,153144,5,mp-690435,51467,12,,,,,,
diff. SGs,Li7 Mn11 O24,87308,2,mp-34461,51467,12,,,,,,
diff. SGs,O3 W1,26256,14,,26266,11,,,,,,
diff. SGs,O3 W1,26256,14,,40625,113,mp-565994,,,,,
diff. SGs,O3 W1,26256,14,,85528,57,mp-566278,,,,,
diff. SGs,O3 W1,26266,11,,40625,113,mp-565994,,,,,
diff. SGs,O3 W1,26266,11,,85528,57,mp-566278,,,,,
diff. SGs,O3 W1,15113,14,mp-19283,47774,62,,,,,,
diff. SGs,O3 W1,15113,14,mp-19283,15112,2,,,,,,
diff. SGs,Ca2 S4 Sn1,178119,55,,178064,135,,,,,,
diff. SGs,Ca2 S4 Sn1,178100,95,,178134,91,,,,,,
diff. SGs,O3 W1,16289,14,mp-19033,16140,7,,,,,,
diff. SGs,O3 W1,47774,62,,41931,60,mp-19342,,,,,
diff. SGs,O3 W1,47774,62,,15112,2,,,,,,
diff. SGs,O3 W1,19498,130,mp-18773,16140,7,,,,,,
diff. SGs,O3 W1,41931,60,mp-19342,15112,2,,,,,,
diff. SGs,F5 O1 V2,174278,5,,164544,1,mp-764448,,,,,
